success,landing_x,landing_y,center_x,center_y,center_z,smallest_side,diagonal,area,Curvature_PC1,Curvature_PC2,Mean_Curvature,Gaussian_Curvature,Density,Slope,Standard_Deviation,Distance_DF_Center_2D,Distance_PC_Center_2D,Distance_DF_Center_3D,Distance_PC_Center_3D,specie
True,-0.1958135711029172,-0.9336511371657252,15.816833799049853,3.7957367163181424,13.134473002392141,-7.837328940423024,10.412853998216061,53.732194208096544,0.0207342,0.00731706,0.0140256,0.000151713,10430.8,24.0565,0.183213,0.841986,0.505386,0.865499,0.53122,birch
True,2.240107260644436,-1.8673022743314505,15.816833799049853,3.7957367163181424,13.134473002392141,-7.837328940423024,10.412853998216061,53.732194208096544,0.0207379,0.00732134,0.0140296,0.000151829,10379.7,24.4355,0.1831,0.834799,0.515657,0.858509,0.541,birch
False,-0.9007424293085933,-1.0003405045717955,15.816833799049853,3.7957367163181424,13.134473002392141,-7.837328940423024,10.412853998216061,53.732194208096544,0.0201867,0.00734854,0.0137676,0.000148343,10332.4,24.7776,0.182939,0.82779,0.526107,0.851696,0.55097,birch
False,1.362862459383905,-1.544970334507525,15.816833799049853,3.7957367163181424,13.134473002392141,-7.837328940423024,10.412853998216061,53.732194208096544,0.0201906,0.00735283,0.0137717,0.000148458,10283.2,25.1288,0.18272,0.820967,0.536725,0.845065,0.561118,birch
False,1.3941926313564181,-1.9006469585001469,15.816833799049853,3.7957367163181424,13.134473002392141,-7.837328940423024,10.412853998216061,53.732194208096544,0.0203471,0.00725672,0.0138019,0.000147653,10208.1,25.5764,0.182532,0.814331,0.547503,0.834073,0.577474,birch
